,year,biome,country_of_production,product_type,forest_500_beef,zero_deforestation_brazil_beef,state_of_production,municipality_of_production,logistics_hub,exporter,exporter_group,importer,importer_group,country_of_destination,economic_bloc,volume,fob,cattle_deforestation_5_year_total_exposure,co2_gross_emissions_cattle_deforestation_5_year_total_exposure,co2_net_emissions_cattle_deforestation_5_year_total_exposure,land_use,state_of_production_trase_id,municipality_of_production_trase_id,country_of_production_trase_id,country_of_destination_trase_id
5751411,2020,AMAZONIA,BRAZIL,BEEF BONELESS,4.0,G4,ACRE,RIO BRANCO,UNKNOWN,MINERVA,MINERVA,MILLION FAR EAST LTD,MILLION FAR EAST LTD,CHINA (HONG KONG),CHINA (HONG KONG),0.9099788464489328,3036.003263715395,0.7702970935190216,463.8236798615619,435.55482300508726,15.677977987375664,BR-12,BR-1200401,BR,HK
5752849,2020,AMAZONIA,BRAZIL,BEEF BONELESS,,NONE,ACRE,BUJARI,UNKNOWN,NATURAFRIG ALIMENTOS,NATURAFRIG ALIMENTOS,MANFUL POWER TRADING LTD,MANFUL POWER TRADING LTD,CHINA (HONG KONG),CHINA (HONG KONG),0.9045450843195346,3017.874359265053,0.503288884915389,303.50083623312383,285.03074924738644,14.51913072904376,BR-12,BR-1200138,BR,HK
5753969,2020,AMAZONIA,BRAZIL,BEEF BONELESS,4.0,G4,ACRE,RIO BRANCO,UNKNOWN,MINERVA,MINERVA,FRIEND KONG,FRIEND KONG,CHINA (HONG KONG),CHINA (HONG KONG),0.9000707242604553,3002.9463509982525,0.7619098680864754,458.773428735493,430.81237165805226,15.507271468017146,BR-12,BR-1200401,BR,HK
5754001,2020,AMAZONIA,BRAZIL,BEEF BONELESS,,NONE,ACRE,SENADOR GUIOMARD,UNKNOWN,FRIGORIFICO NOSSO LTDA,FRIGORIFICO NOSSO,NICOLE STAR LOGISTICS CO LTD,NICOLE STAR LOGISTICS CO LTD,CHINA (HONG KONG),CHINA (HONG KONG),0.8999771922718038,3002.6342960269585,0.233994069990669,140.4248812736772,131.83702891186195,16.223984662381223,BR-12,BR-1200450,BR,HK
5754013,2020,AMAZONIA,BRAZIL,BEEF BONELESS,,NONE,ACRE,XAPURI,UNKNOWN,ZANCHETTA INDUSTRIA DE ALIMENTOS LTDA,ZANCHETTA INDUSTRIA DE ALIMENTOS LTDA,HOI TAT TRADING,HOI TAT TRADING,CHINA (HONG KONG),CHINA (HONG KONG),0.8999113573599269,3002.4146480559034,0.8937919601298794,536.1236310053482,503.3218620295789,16.62924905670977,BR-12,BR-1200708,BR,HK
5756820,2020,AMAZONIA,BRAZIL,BEEF BONELESS,,NONE,ACRE,BUJARI,UNKNOWN,FRIGORIFICO NOSSO LTDA,FRIGORIFICO NOSSO,NICOLE STAR LOGISTICS CO LTD,NICOLE STAR LOGISTICS CO LTD,CHINA (HONG KONG),CHINA (HONG KONG),0.8891000286553675,2966.3443269047807,0.4946952559438465,298.3185767846982,280.16386547957853,14.27121740090479,BR-12,BR-1200138,BR,HK
5757735,2020,AMAZONIA,BRAZIL,BEEF OFFALS,4.0,G4,ACRE,RIO BRANCO,UNKNOWN,MINERVA,MINERVA,EVER ALLIANCE INTERNATIONAL LTD,EVER ALLIANCE INTERNATIONAL LTD,CHINA (HONG KONG),CHINA (HONG KONG),0.8859805564293389,2398.532951058767,0.7499825410174354,451.5915546525968,424.0682142748968,15.264512702847249,BR-12,BR-1200401,BR,HK
5758430,2020,AMAZONIA,BRAZIL,BEEF BONELESS,,NONE,ACRE,SENADOR GUIOMARD,UNKNOWN,ZANCHETTA INDUSTRIA DE ALIMENTOS LTDA,ZANCHETTA INDUSTRIA DE ALIMENTOS LTDA,ONEYAO INTERNATIONAL CO LTD,ONEYAO INTERNATIONAL CO LTD,CHINA (HONG KONG),CHINA (HONG KONG),0.8835732858022435,2947.905206693053,0.2297290543085833,137.86535350098134,129.43403213587058,15.928269693990217,BR-12,BR-1200450,BR,HK
5759590,2020,AMAZONIA,BRAZIL,BEEF BONELESS,,NONE,ACRE,PLACIDO DE CASTRO,UNKNOWN,FRIGORIFICO BETTER BEEF,FRIGORIFICO BETTER BEEF,EVER ALLIANCE INTERNATIONAL LTD,EVER ALLIANCE INTERNATIONAL LTD,CHINA (HONG KONG),CHINA (HONG KONG),0.8792695671989926,2933.5465171734336,0.3965505748067456,236.44156565286605,221.88833541137197,18.14040176856041,BR-12,BR-1200385,BR,HK
5761461,2020,AMAZONIA,BRAZIL,BEEF BONELESS,,NONE,ACRE,BUJARI,UNKNOWN,ZANCHETTA INDUSTRIA DE ALIMENTOS LTDA,ZANCHETTA INDUSTRIA DE ALIMENTOS LTDA,ONEYAO INTERNATIONAL CO LTD,ONEYAO INTERNATIONAL CO LTD,CHINA (HONG KONG),CHINA (HONG KONG),0.8728943805151854,2912.276695732677,0.4856784333186492,292.8811167315655,275.0573117969498,14.01109556952787,BR-12,BR-1200138,BR,HK
5764970,2020,AMAZONIA,BRAZIL,BEEF OFFALS,3.0,NONE,ACRE,RIO BRANCO,UNKNOWN,MARFRIG GLOBAL FOODS,MARFRIG,FRIEND KONG,FRIEND KONG,CHINA (HONG KONG),CHINA (HONG KONG),0.8599803210654027,2328.144926397124,0.7279733417818633,438.33902148566847,411.62338881964337,14.816556006608534,BR-12,BR-1200401,BR,HK
5768236,2020,AMAZONIA,BRAZIL,BEEF BONELESS,4.0,G4,ACRE,RIO BRANCO,UNKNOWN,MINERVA,MINERVA,CHINA RESOURCES NG FUNG LTD,CHINA RESOURCES NG FUNG LTD,CHINA (HONG KONG),CHINA (HONG KONG),0.8483963701865851,2830.542884444199,0.7181675273629443,432.4345867343379,406.0788141359436,14.616976722327736,BR-12,BR-1200401,BR,HK
5768435,2020,AMAZONIA,BRAZIL,BEEF OFFALS,4.0,G4,ACRE,RIO BRANCO,UNKNOWN,JBS,JBS,EVER ALLIANCE INTERNATIONAL LTD,EVER ALLIANCE INTERNATIONAL LTD,CHINA (HONG KONG),CHINA (HONG KONG),0.8477772335448436,2295.108639866552,0.7176434281957101,432.1190077111218,405.7824688401579,14.606309649485022,BR-12,BR-1200401,BR,HK
5769218,2020,AMAZONIA,BRAZIL,BEEF OFFALS,,NONE,ACRE,SENADOR GUIOMARD,UNKNOWN,MERIDIONAL MEATIMPORTACAO E EXP DE ALIMENTOS,MERIDIONAL MEATIMPORTACAO E EXP DE ALIMENTOS,EVER ALLIANCE INTERNATIONAL LTD,EVER ALLIANCE INTERNATIONAL LTD,CHINA (HONG KONG),CHINA (HONG KONG),0.8451783211949012,2288.072845612361,0.2197463635106743,131.87452574135435,123.80958064701623,15.23611957924146,BR-12,BR-1200450,BR,HK
5770595,2020,AMAZONIA,BRAZIL,BEEF BONELESS,3.0,NONE,ACRE,RIO BRANCO,UNKNOWN,MARFRIG GLOBAL FOODS,MARFRIG,TOTAL ENTERPRISE,TOTAL ENTERPRISE,CHINA (HONG KONG),CHINA (HONG KONG),0.8404255220211986,2803.949385991868,0.7114202043909447,428.3717800634855,402.26362505168817,14.479647395865578,BR-12,BR-1200401,BR,HK
5821551,2020,AMAZONIA,BRAZIL,BEEF OFFALS,,NONE,ACRE,BUJARI,UNKNOWN,MERIDIONAL MEATIMPORTACAO E EXP DE ALIMENTOS,MERIDIONAL MEATIMPORTACAO E EXP DE ALIMENTOS,EVER ALLIANCE INTERNATIONAL LTD,EVER ALLIANCE INTERNATIONAL LTD,CHINA (HONG KONG),CHINA (HONG KONG),0.8349634591254573,2260.4190973598897,0.4645736686574044,280.15420398786785,263.1049181232933,13.402254710318692,BR-12,BR-1200138,BR,HK
5823631,2020,AMAZONIA,BRAZIL,BEEF OFFALS,4.0,G4,ACRE,RIO BRANCO,UNKNOWN,JBS,JBS,EVER ALLIANCE INTERNATIONAL LTD,EVER ALLIANCE INTERNATIONAL LTD,CHINA (HONG KONG),CHINA (HONG KONG),0.8277440676288138,2240.8747086420617,0.7006853532477909,421.90793877176094,396.1937382132448,14.261159280908204,BR-12,BR-1200401,BR,HK
5824287,2020,AMAZONIA,BRAZIL,BEEF BONELESS,,NONE,ACRE,CAPIXABA,UNKNOWN,ZANCHETTA INDUSTRIA DE ALIMENTOS LTDA,ZANCHETTA INDUSTRIA DE ALIMENTOS LTDA,HOI TAT TRADING,HOI TAT TRADING,CHINA (HONG KONG),CHINA (HONG KONG),0.8255940384511711,2754.4664417453487,0.5902171780887422,355.1429805008096,333.48079644171617,12.78013088185327,BR-12,BR-1200179,BR,HK
5825082,2020,AMAZONIA,BRAZIL,BEEF OFFALS,,NONE,ACRE,SENADOR GUIOMARD,UNKNOWN,RIO GRANDE COMERCIO DE CARNES LTDA,RIO GRANDE COMERCIO DE CARNES LTDA,EVER ALLIANCE INTERNATIONAL LTD,EVER ALLIANCE INTERNATIONAL LTD,CHINA (HONG KONG),CHINA (HONG KONG),0.8227991692551611,2242.9522325714383,0.2139277840063418,128.38267085755356,120.53127434477004,14.832688224596874,BR-12,BR-1200450,BR,HK
